Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,Maayong Buntag,44100,1,16,32768,0.74,65580,0.0244,0.0049
002_kamusta_ka.wav,Kamusta Ka,44100,1,16,27648,0.63,55340,0.0497,0.0069
003_salamat_sa_imong_tabang.wav,Salamat Sa Imong Tabang,44100,1,16,44893,1.02,89830,0.0394,0.0071
004_maayong_gabie.wav,Maayong Gabie,44100,1,16,35936,0.81,71916,0.0419,0.0097
005_palihug_tabangi_ko.wav,Palihug Tabangi Ko,44100,1,16,50471,1.14,100986,0.0498,0.0071
006_asa_ka_padulong.wav,Asa Ka Padulong,44100,1,16,41997,0.95,84038,0.0521,0.0061
007_kinsa_imong_kuyog.wav,Kinsa Imong Kuyog,44100,1,16,41603,0.94,83250,0.0541,0.0103
008_asa_dapit_ang_jeepney_stop.wav,Asa Dapit Ang Jeepney Stop,44100,1,16,59375,1.35,118794,0.042,0.0058
009_pila_an_plete_padulong_sa_cogon_bai.wav,Pila An Plete Padulong Sa Cogon Bai,44100,1,16,64684,1.47,129412,0.0553,0.0068
010_pag_andam_na_sa_bayad.wav,Pag Andam Na Sa Bayad,44100,1,16,45858,1.04,91760,0.1407,0.013
011_toguti_ko_nga_moagi.wav,Toguti Ko Nga Moagi,44100,1,16,43927,1.0,87898,0.0549,0.0071
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,Naa Ba Y Shortcut Padulong Sa Skwelahan,44100,1,16,63236,1.43,126516,0.0274,0.0037
013_ang_aplikasyon_nagkinahanglan_og_update.wav,Ang Aplikasyon Nagkinahanglan Og Update,44100,1,16,80829,1.83,161702,0.0554,0.0088
014_gamiton_nako_ang_mapa_sa_app.wav,Gamiton Nako Ang Mapa Sa App,44100,1,16,54333,1.23,108710,0.0734,0.0119
015_palihug_i-enable_ang_GPS.wav,Palihug I-enable Ang Gps,44100,1,16,70365,1.6,140774,0.0503,0.0082
016_naa_kay_internet_connection.wav,Naa Kay Internet Connection,44100,1,16,41827,0.95,83698,0.05,0.0076
017_unsa_imong_password_sa_wifi.wav,Unsa Imong Password Sa Wifi,44100,1,16,44076,1.0,88196,0.0513,0.0093
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,Ang Akong Research Naghisgot Mahitungod Sa Ai,44100,1,16,88175,2.0,176394,0.0429,0.0049
