Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,Maayong Buntag,44100,1,16,49152,1.11,98348,0.0197,0.005
002_kamusta_ka.wav,Kamusta Ka,44100,1,16,41472,0.94,82988,0.041,0.0065
003_salamat_sa_imong_tabang.wav,Salamat Sa Imong Tabang,44100,1,16,67339,1.53,134722,0.0512,0.008
004_maayong_gabie.wav,Maayong Gabie,44100,1,16,53904,1.22,107852,0.0474,0.0106
005_palihug_tabangi_ko.wav,Palihug Tabangi Ko,44100,1,16,75706,1.72,151456,0.0438,0.0083
006_asa_ka_padulong.wav,Asa Ka Padulong,44100,1,16,62995,1.43,126034,0.0433,0.0069
007_kinsa_imong_kuyog.wav,Kinsa Imong Kuyog,44100,1,16,62405,1.42,124854,0.0736,0.0109
008_asa_dapit_ang_jeepney_stop.wav,Asa Dapit Ang Jeepney Stop,44100,1,16,89062,2.02,178168,0.0618,0.0059
009_pila_an_plete_padulong_sa_cogon_bai.wav,Pila An Plete Padulong Sa Cogon Bai,44100,1,16,97026,2.2,194096,0.0683,0.0069
010_pag_andam_na_sa_bayad.wav,Pag Andam Na Sa Bayad,44100,1,16,68787,1.56,137618,0.1562,0.0125
011_toguti_ko_nga_moagi.wav,Toguti Ko Nga Moagi,44100,1,16,65891,1.49,131826,0.0508,0.0073
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,Naa Ba Y Shortcut Padulong Sa Skwelahan,44100,1,16,94854,2.15,189752,0.0261,0.0038
013_ang_aplikasyon_nagkinahanglan_og_update.wav,Ang Aplikasyon Nagkinahanglan Og Update,44100,1,16,121243,2.75,242530,0.0656,0.0092
014_gamiton_nako_ang_mapa_sa_app.wav,Gamiton Nako Ang Mapa Sa App,44100,1,16,81499,1.85,163042,0.0722,0.0126
015_palihug_i-enable_ang_GPS.wav,Palihug I-enable Ang Gps,44100,1,16,105547,2.39,211138,0.0834,0.0086
016_naa_kay_internet_connection.wav,Naa Kay Internet Connection,44100,1,16,62741,1.42,125526,0.0555,0.0082
017_unsa_imong_password_sa_wifi.wav,Unsa Imong Password Sa Wifi,44100,1,16,66114,1.5,132272,0.0572,0.0095
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,Ang Akong Research Naghisgot Mahitungod Sa Ai,44100,1,16,132262,3.0,264568,0.0406,0.0052
019_kining_teknolohiya_makatabang_sa_edukasyon.wav,Kining Teknolohiya Makatabang Sa Edukasyon,44100,1,16,121545,2.76,243134,0.0272,0.0054
020_nagkinahanglan_kami_og_daghang_datos.wav,Nagkinahanglan Kami Og Daghang Datos,44100,1,16,116961,2.65,233966,0.0419,0.0064
021_ang_transfer_learning_makatabang_sa_low-resource_languages.wav,Ang Transfer Learning Makatabang Sa Low-resource Languages,44100,1,16,169056,3.83,338156,0.0685,0.0079
022_unsay_buhaton_sa_model_kung_walay_igo_nga_datos.wav,Unsay Buhaton Sa Model Kung Walay Igo Nga Datos,44100,1,16,179571,4.07,359186,0.0595,0.0074
023_usa.wav,Usa,44100,1,16,31859,0.72,63762,0.0511,0.0096
024_duha.wav,Duha,44100,1,16,28239,0.64,56522,0.0944,0.0175
025_tulo.wav,Tulo,44100,1,16,29688,0.67,59420,0.0269,0.0063
026_upat.wav,Upat,44100,1,16,20736,0.47,41516,0.057,0.0072
027_lima.wav,Lima,44100,1,16,25343,0.57,50730,0.0309,0.0072
028_pito_ka_kilometro.wav,Pito Ka Kilometro,44100,1,16,70235,1.59,140514,0.0444,0.0057
029_napulo_ka_minuto.wav,Napulo Ka Minuto,44100,1,16,59375,1.35,118794,0.0547,0.0065
030_akong_pangalan_kay_leandro.wav,Akong Pangalan Kay Leandro,44100,1,16,76029,1.72,152102,0.0271,0.0044
031_kung_musakay_ko_ug_jeepney_kanunay_ko_mag_andam_ug_saktong_plite.wav,Kung Musakay Ko Ug Jeepney Kanunay Ko Mag Andam Ug Saktong Plite,48000,1,16,241664,5.03,483372,0.3501,0.0516
032_mag_praktis_ko_sa_akoang_pronounciation_aron_mas_tinaw_akoang_tingog.wav,Mag Praktis Ko Sa Akoang Pronounciation Aron Mas Tinaw Akoang Tingog,48000,1,16,231424,4.82,462892,0.4055,0.0623
033_sadyang_bata_pako_ganahan_kaayo_ko_magduwa_sa_gawas.wav,Sadyang Bata Pako Ganahan Kaayo Ko Magduwa Sa Gawas,48000,1,16,184320,3.84,368684,0.539,0.0776
034_nagkaton_ko_ug_laing_sinultian_aron_makasabot_ko_ug_laing_laing_kultura.wav,Nagkaton Ko Ug Laing Sinultian Aron Makasabot Ko Ug Laing Laing Kultura,48000,1,16,289792,6.04,579628,0.368,0.0462
035_dili_sayon_ang_pagkat-on_ug_skills_apan_kailangan_lang_ug_pasensya.wav,Dili Sayon Ang Pagkat-on Ug Skills Apan Kailangan Lang Ug Pasensya,48000,1,16,288768,6.02,577580,0.7364,0.0745
036_ang_katong_paboritong_kanta_kai_makaparelaks_ug_makawala_sa_stress.wav,Ang Katong Paboritong Kanta Kai Makaparelaks Ug Makawala Sa Stress,48000,1,16,270336,5.63,540716,0.4301,0.0674
037_dako_ug_tabang_ang_teknolohiya_sa_atong_adlaw-adlaw_na_kinabuhi.wav,Dako Ug Tabang Ang Teknolohiya Sa Atong Adlaw-adlaw Na Kinabuhi,48000,1,16,204800,4.27,409644,0.5004,0.0686
038_Mas_maayo_nga_magpraktis_sa_paglitok_sa_mga_pulong_para_mas_klaro.wav,Mas Maayo Nga Magpraktis Sa Paglitok Sa Mga Pulong Para Mas Klaro,48000,1,16,258048,5.38,516140,0.4615,0.0717
039_Dugay_na_ko_wala_kabisita_sa_akong_mga_higala_sa_pikas_barangay.wav,Dugay Na Ko Wala Kabisita Sa Akong Mga Higala Sa Pikas Barangay,48000,1,16,204800,4.27,409644,0.5521,0.0614
040_Nindot_ang_pagbiyahe_sa_probinsya_kay_presko_ang_hangin_ug_daghan_kahoy.wav,Nindot Ang Pagbiyahe Sa Probinsya Kay Presko Ang Hangin Ug Daghan Kahoy,48000,1,16,250880,5.23,501804,0.319,0.0489
041_Sa_dihang_niadtong_gabii_nakadungog_ko_og_kusog_nga_ulan.wav,Sa Dihang Niadtong Gabii Nakadungog Ko Og Kusog Nga Ulan,48000,1,16,221184,4.61,442412,0.3619,0.0545
042_Nagtuon_ko_og_programming_kay_gusto_nako_makahimo_og_akong_kaugalingong_app.wav,Nagtuon Ko Og Programming Kay Gusto Nako Makahimo Og Akong Kaugalingong App,48000,1,16,286720,5.97,573484,0.334,0.0515
043_Ang_akong_paboritong_prutas_kay_mangga_kay_tam-is_ug_lami_kaayo.wav,Ang Akong Paboritong Prutas Kay Mangga Kay Tam-is Ug Lami Kaayo,48000,1,16,244736,5.1,489516,0.4201,0.0555
044_Ang_iring_sa_among_balay_kay_kanunay_magduwa_sa_among_garden.wav,Ang Iring Sa Among Balay Kay Kanunay Magduwa Sa Among Garden,48000,1,16,211968,4.42,423980,0.3777,0.0524
045_Kada_buntag_mokaon_ko_og_pan_ug_inom_ko_og_kape.wav,Kada Buntag Mokaon Ko Og Pan Ug Inom Ko Og Kape,48000,1,16,211968,4.42,423980,0.3112,0.0531
