Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,,44100,2,16,49152,1.11,196652,0.0327,0.0069
002_kamusta_ka.wav,,44100,2,16,41472,0.94,165932,0.0671,0.0101
003_salamat_sa_imong_tabang.wav,,44100,2,16,67339,1.53,269400,0.0574,0.0106
004_maayong_gabie.wav,,44100,2,16,53904,1.22,215660,0.065,0.0147
005_palihug_tabangi_ko.wav,,44100,2,16,75706,1.72,302868,0.0593,0.0113
006_asa_ka_padulong.wav,,44100,2,16,62995,1.43,252024,0.0934,0.0087
007_kinsa_imong_kuyog.wav,,44100,2,16,62405,1.42,249664,0.0762,0.0143
008_asa_dapit_ang_jeepney_stop.wav,,44100,2,16,89062,2.02,356292,0.0761,0.0087
009_pila_an_plete_padulong_sa_cogon_bai.wav,,44100,2,16,97026,2.2,388148,0.0843,0.0104
010_pag_andam_na_sa_bayad.wav,,44100,2,16,68787,1.56,275192,0.2792,0.018
011_toguti_ko_nga_moagi.wav,,44100,2,16,65891,1.49,263608,0.0835,0.0098
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,,44100,2,16,94854,2.15,379460,0.039,0.0053
013_ang_aplikasyon_nagkinahanglan_og_update.wav,,44100,2,16,121243,2.75,485016,0.1441,0.0137
014_gamiton_nako_ang_mapa_sa_app.wav,,44100,2,16,81499,1.85,326040,0.1785,0.0177
"015_palihug,_i-enable_ang_GPS.wav",,44100,2,16,105547,2.39,422232,0.1081,0.0122
016_naa_kay_internet_connection.wav,,44100,2,16,62741,1.42,251008,0.105,0.0118
017_unsa_imong_password_sa_wifi.wav,,44100,2,16,66114,1.5,264500,0.1432,0.0131
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,,44100,2,16,132262,3.0,529092,0.0553,0.0079
019_kining_teknolohiya_makatabang_sa_edukasyon.wav,,44100,2,16,121545,2.76,486224,0.0577,0.0079
020_nagkinahanglan_kami_og_daghang_datos.wav,,44100,2,16,116961,2.65,467888,0.0662,0.0094
021_ang_transfer_learning_makatabang_sa_low-resource_languages.wav,,44100,2,16,169056,3.83,676268,0.0781,0.0114
022_unsay_buhaton_sa_model_kung_walay_igo_nga_datos.wav,,44100,2,16,179571,4.07,718328,0.1043,0.0102
023_usa.wav,,44100,2,16,31859,0.72,127480,0.0799,0.0128
024_duha.wav,,44100,2,16,28239,0.64,113000,0.1737,0.0255
025_tulo.wav,,44100,2,16,29688,0.67,118796,0.0381,0.0081
026_upat.wav,,44100,2,16,20736,0.47,82988,0.0753,0.009
027_lima.wav,,44100,2,16,25343,0.57,101416,0.0439,0.0099
028_pito_ka_kilometro.wav,,44100,2,16,70235,1.59,280984,0.1041,0.0085
029_napulo_ka_minuto.wav,,44100,2,16,59375,1.35,237544,0.0642,0.0093
030_akong_pangalan_kay_leandro.wav,,44100,2,16,76029,1.72,304160,0.0553,0.0056
031_kung_musakay_ko_ug_jeepney_kanunay_ko_mag_andam_ug_saktong_plite.wav,,48000,2,16,241664,5.03,966734,0.5389,0.0765
032_mag_praktis_ko_sa_akoang_pronounciation_aron_mas_tinaw_akoang_tingog.wav,,48000,2,16,231424,4.82,925774,0.6379,0.0862
033_sadyang_bata_pako_ganahan_kaayo_ko_magduwa_sa_gawas.wav,,48000,2,16,184320,3.84,737358,0.7553,0.1097
034_nagkaton_ko_ug_laing_sinultian_aron_makasabot_ko_ug_laing_laing_kultura.wav,,48000,2,16,289792,6.04,1159246,0.5127,0.0734
035_dili_sayon_ang_pagkat-on_ug_skills_apan_kailangan_lang_ug_pasensya.wav,,48000,2,16,288768,6.02,1155150,0.9846,0.0994
036_ang_katong_paboritong_kanta_kai_makaparelaks_ug_makawala_sa_stress.wav,,48000,2,16,270336,5.63,1081422,0.8059,0.1008
037_dako_ug_tabang_ang_teknolohiya_sa_atong_adlaw-adlaw_na_kinabuhi.wav,,48000,2,16,204800,4.27,819278,0.7333,0.1062
038_Mas_maayo_nga_magpraktis_sa_paglitok_sa_mga_pulong_para_mas_klaro.wav,,48000,2,16,258048,5.38,1032270,0.7637,0.1008
039_Dugay_na_ko_wala_kabisita_sa_akong_mga_higala_sa_pikas_barangay.wav,,48000,2,16,204800,4.27,819278,0.6903,0.0935
040_Nindot_ang_pagbiyahe_sa_probinsya_kay_presko_ang_hangin_ug_daghan_kahoy.wav,,48000,2,16,250880,5.23,1003598,0.4524,0.0698
041_Sa_dihang_niadtong_gabii_nakadungog_ko_og_kusog_nga_ulan.wav,,48000,2,16,221184,4.61,884814,0.5376,0.0858
042_Nagtuon_ko_og_programming_kay_gusto_nako_makahimo_og_akong_kaugalingong_app.wav,,48000,2,16,286720,5.97,1146958,0.5363,0.0785
043_Ang_akong_paboritong_prutas_kay_mangga_kay_tam-is_ug_lami_kaayo.wav,,48000,2,16,244736,5.1,979022,0.6292,0.0798
044_Ang_iring_sa_among_balay_kay_kanunay_magduwa_sa_among_garden.wav,,48000,2,16,211968,4.42,847950,0.4946,0.0788
"045_Kada_buntag,_mokaon_ko_og_pan_ug_inom_ko_og_kape.wav",,48000,2,16,211968,4.42,847950,0.4354,0.0697
046_Ang_among_iro_kay_kasagaran_matulog_sa_ilawom_sa_lamesa.wav,,48000,2,16,228352,4.76,913486,0.6759,0.0704
047_Unsa_may_imong_paboritong_libro_nga_imong_nabasa.wav,,48000,2,16,189440,3.95,757838,0.4546,0.08
048_Ang_akong_lolo_kay_daghan_og_istorya_mahitungod_sa_ilang_panahon_sauna.wav,,48000,2,16,260096,5.42,1040462,0.4152,0.0754
049_Gusto_ko_moadto_sa_dagat_ug_maglangoy_sa_limpyo_nga_tubig.wav,,48000,2,16,204800,4.27,819278,0.5569,0.0711
"050_Nag-ulan_og_kusog_kagabii,_mao_nga_bugnaw_ang_panahon_karon.wav",,48000,2,16,225280,4.69,901198,0.4641,0.0781
051_Ang_kahoy_sa_among_likod_balay_kay_daghan_og_bunga_nga_hinog_na.wav,,48000,2,16,228352,4.76,913486,0.5606,0.0826
052_Nindot_kaayo_ang_view_sa_bukid_labi_na_kung_mosubang_na_ang_adlaw.wav,,48000,2,16,319488,6.66,1278030,0.65,0.0763
053_Nag-andam_ko_og_sud-an_para_sa_among_panihapon_karong_gabi.wav,,48000,2,16,169984,3.54,680014,0.4893,0.0714
"054_Kung_magbaha,_mas_maayo_nga_magpabilin_lang_sa_balay_para_luwas.wav",,48000,2,16,258048,5.38,1032270,0.4417,0.0706
055_Ang_bisikleta_kay_maayo_nga_pamaagi_sa_pag-ehersisyo.wav,,48000,2,16,212992,4.44,852046,0.779,0.0976
056_Kanunay_kong_nagbasa_og_libro_matag_gabii_aron_masayod_ko_og_bag-ong_mga_butang..wav,,48000,2,16,285696,5.95,1142862,0.7893,0.1117
"057_Kung_gusto_ka_mahimong_maayong_magtatambag,_kinahanglan_nga_maminaw_ka_sa_uban..wav",,48000,2,16,264192,5.5,1056846,0.8297,0.1146
058_Ang kahoy nagapadaku sa ilang sanga ug nagahatag og landong sa init nga adlaw.wav,,48000,2,16,293888,6.12,1175630,0.8527,0.1062
059_Gusto_ko_moadto_sa_taas_nga_bungtod_aron_makita_ang_nindot_nga_tan-awon.wav,,48000,2,16,228352,4.76,913486,0.659,0.0886
060_Dili_kinahanglan_nga_magdali-dali_sa_pagbuhat_sa_usa_ka_desisyon.wav,,48000,2,16,203776,4.25,815182,0.6996,0.0959
"061_Kung_maglakaw_ta_sa_dalan,_kinahanglan_nga_magmatngon_sa_mga_sakyanan.wav",,48000,2,16,247808,5.16,991310,0.7049,0.1094
062_Ang dagat kay malinawon ug ang mga balud nagahumok sa baybayon.wav,,48000,2,16,256000,5.33,1024078,0.9119,0.1053
063_Ang_usa_ka_maayong_kinaiya_mao_ang_pagpakita_og_respeto_sa_uban.wav,,48000,2,16,228352,4.76,913486,0.7438,0.0841
064_Ang teknolohiya nagapauswag sa atong pamaagi sa pagtrabaho ug komunikasyon..wav,,48000,2,16,294912,6.14,1179726,0.9091,0.1039
065_Ang_akong_damgo_mao_ang_makabiyahe_sa_lain-laing_mga_nasod..wav,,48000,2,16,228352,4.76,913486,0.7818,0.0928
066_Ang_atong_kalibotan_puno_og_katahom_nga_dapat_natong_ampingan.wav,,48000,2,16,212992,4.44,852046,0.7354,0.0871
"067_Sa_pagkat-on_sa_bag-ong_sinultian,_importante_ang_pagpraktis_matag-adlaw.wav",,48000,2,16,220160,4.59,880718,0.7472,0.0803
068_Nagtuon_ko_og_matematika_kay_gusto_nako_masabtan_ang_mga_numero_og_ekwasyon..wav,,48000,2,16,233472,4.86,933966,0.5475,0.0746
"069_Sa_buntag,_makadungog_ko_sa_mga_langgam_nga_nagkanta_sa_gawas..wav",,48000,2,16,194560,4.05,778318,0.7414,0.0896
"070_Kung_maghimo_ka_og_desisyon,_siguroha_nga_imo_kining_hunahunaon_pag-ayo..wav",,48000,2,16,290816,6.06,1163342,0.6768,0.0849
071_Ang_pagsabot_sa_laing_kultura_makatabang_sa_atong_pagsinabtanay..wav,,48000,2,16,203776,4.25,815182,0.6816,0.0773
"072_Ang_tubig_sa_suba_kay_klaro_kaayo,_ug_makita_nimo_ang_mga_isda_nga_naglangoy.wav",,48000,2,16,279552,5.82,1118286,0.8808,0.0845
073_Gusto_ko_mokaon_og_lechon_kung_aduna’y_fiesta_sa_among_lugar.wav,,48000,2,16,168960,3.52,675918,0.6572,0.0837
074_Ang_among_pamilya_kanunay_magtapok_matag_Domingo_para_magkaon_og_panihapon.wav,,48000,2,16,251904,5.25,1007694,0.7291,0.0811
075_Ang_pagsulat_og_istorya_makatabang_sa_pagpaambit_sa_imong_mga_hunahuna.wav,,48000,2,16,256000,5.33,1024078,0.7758,0.0827
076_Ang_akong_paboritong_bulan_sa_tuig_kay_Disyembre_kay_bugnaw_ang_panahon.wav,,48000,2,16,219136,4.57,876622,0.645,0.0807
077_Ang_akong_damgo_mao_ang_mahimong_usa_ka_maayong_inhenyero_sa_umaabot.wav,,48000,2,16,414720,8.64,1658958,0.6005,0.0842
078_kadtong_tawo_nga_nagbarog_sa_kilid_sa_dalan_gahapon_kay_akong_igsuon_nga_gikan_sa_Manila.wav,,96000,2,16,798720,8.32,3195014,0.1046,0.0093
"079_kung_moabot_ka_sa_among_balay_karong_gabii,_pangandam_ko_og_espesyal_nga_panihapon_para_nimo.wav",,96000,2,16,772096,8.04,3088522,0.0775,0.01
080_ang_among_silingan_kanunay_maghimo_og_saba_kada_gabii_mao_nga_dili_ko_katulog_og_tarong.wav,,96000,2,16,1056768,11.01,4227210,0.1205,0.0088
081_dili_ko_kasabot_nganon_wala_ka_motunga_sa_among_kasal_bisan_pa_man_og_gidapit_tika.wav,,96000,2,16,858112,8.94,3432586,0.1324,0.0103
