Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,,44100,1,16,43691,0.99,87426,0.0142,0.003
002_kamusta_ka.wav,,44100,1,16,36864,0.84,73772,0.0286,0.0047
003_salamat_sa_imong_tabang.wav,,44100,1,16,59857,1.36,119758,0.0302,0.0057
004_maayong_gabie.wav,,44100,1,16,47915,1.09,95874,0.0354,0.0081
005_palihug_tabangi_ko.wav,,44100,1,16,67294,1.53,134632,0.0379,0.0056
006_asa_ka_padulong.wav,,44100,1,16,55995,1.27,112034,0.0334,0.0047
007_kinsa_imong_kuyog.wav,,44100,1,16,55471,1.26,110986,0.0361,0.0062
008_asa_dapit_ang_jeepney_stop.wav,,44100,1,16,79166,1.8,158376,0.034,0.0042
009_pila_an_plete_padulong_sa_cogon_bai.wav,,44100,1,16,86245,1.96,172534,0.0437,0.0055
010_pag_andam_na_sa_bayad.wav,,44100,1,16,61144,1.39,122332,0.1258,0.009
011_toguti_ko_nga_moagi.wav,,44100,1,16,58570,1.33,117184,0.0302,0.0044
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,,44100,1,16,84315,1.91,168674,0.0182,0.0026
013_ang_aplikasyon_nagkinahanglan_og_update.wav,,44100,1,16,107771,2.44,215586,0.0613,0.008
014_gamiton_nako_ang_mapa_sa_app.wav,,44100,1,16,72443,1.64,144930,0.0524,0.0075
"015_palihug,_i-enable_ang_GPS.wav",,44100,1,16,93819,2.13,187682,0.0369,0.0054
016_naa_kay_internet_connection.wav,,44100,1,16,55770,1.26,111584,0.0367,0.0057
017_unsa_imong_password_sa_wifi.wav,,44100,1,16,58768,1.33,117580,0.0484,0.006
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,,44100,1,16,117566,2.67,235176,0.0241,0.0035
019_kining_teknolohiya_makatabang_sa_edukasyon.wav,,44100,1,16,108040,2.45,216124,0.0262,0.0043
020_nagkinahanglan_kami_og_daghang_datos.wav,,44100,1,16,103965,2.36,207974,0.0296,0.0043
021_ang_transfer_learning_makatabang_sa_low-resource_languages.wav,,44100,1,16,150272,3.41,300588,0.0386,0.0055
022_unsay_buhaton_sa_model_kung_walay_igo_nga_datos.wav,,44100,1,16,159619,3.62,319282,0.0359,0.0049
023_usa.wav,,44100,1,16,28319,0.64,56682,0.0377,0.0063
024_duha.wav,,44100,1,16,25101,0.57,50246,0.0521,0.0109
025_tulo.wav,,44100,1,16,26389,0.6,52822,0.0204,0.0051
026_upat.wav,,44100,1,16,18432,0.42,36908,0.0233,0.0035
027_lima.wav,,44100,1,16,22527,0.51,45098,0.0213,0.0044
028_pito_ka_kilometro.wav,,44100,1,16,62431,1.42,124906,0.0274,0.0034
029_napulo_ka_minuto.wav,,44100,1,16,52778,1.2,105600,0.0275,0.0044
030_akong_pangalan_kay_leandro.wav,,44100,1,16,67581,1.53,135206,0.021,0.0032
031_kung_musakay_ko_ug_jeepney_kanunay_ko_mag_andam_ug_saktong_plite.wav,,48000,1,16,214813,4.48,429670,0.2669,0.0365
032_mag_praktis_ko_sa_akoang_pronounciation_aron_mas_tinaw_akoang_tingog.wav,,48000,1,16,205710,4.29,411464,0.366,0.0443
033_sadyang_bata_pako_ganahan_kaayo_ko_magduwa_sa_gawas.wav,,48000,1,16,163840,3.41,327724,0.3962,0.0535
034_nagkaton_ko_ug_laing_sinultian_aron_makasabot_ko_ug_laing_laing_kultura.wav,,48000,1,16,257593,5.37,515230,0.2126,0.031
