Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,,44100,1,16,32768,0.740000,65580,0.024400,0.004900
002_kamusta_ka.wav,,44100,1,16,27648,0.630000,55340,0.049700,0.006900
003_salamat_sa_imong_tabang.wav,,44100,1,16,44893,1.020000,89830,0.039400,0.007100
004_maayong_gabie.wav,,44100,1,16,35936,0.810000,71916,0.041900,0.009700
005_palihug_tabangi_ko.wav,,44100,1,16,50471,1.140000,100986,0.049800,0.007100
006_asa_ka_padulong.wav,,44100,1,16,41997,0.950000,84038,0.052100,0.006100
007_kinsa_imong_kuyog.wav,,44100,1,16,41603,0.940000,83250,0.054100,0.010300
008_asa_dapit_ang_jeepney_stop.wav,,44100,1,16,59375,1.350000,118794,0.042000,0.005800
009_pila_an_plete_padulong_sa_cogon_bai.wav,,44100,1,16,64684,1.470000,129412,0.055300,0.006800
010_pag_andam_na_sa_bayad.wav,,44100,1,16,45858,1.040000,91760,0.140700,0.013000
011_toguti_ko_nga_moagi.wav,,44100,1,16,43927,1.000000,87898,0.054900,0.007100
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,,44100,1,16,63236,1.430000,126516,0.027400,0.003700
013_ang_aplikasyon_nagkinahanglan_og_update.wav,,44100,1,16,80829,1.830000,161702,0.055400,0.008800
014_gamiton_nako_ang_mapa_sa_app.wav,,44100,1,16,54333,1.230000,108710,0.073400,0.011900
015_palihug_i-enable_ang_GPS.wav,,44100,1,16,70365,1.600000,140774,0.050300,0.008200
016_naa_kay_internet_connection.wav,,44100,1,16,41827,0.950000,83698,0.050000,0.007600
017_unsa_imong_password_sa_wifi.wav,,44100,1,16,44076,1.000000,88196,0.051300,0.009300
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,,44100,1,16,88175,2.000000,176394,0.042900,0.004900
019_kining_teknolohiya_makatabang_sa_edukasyon.wav,,44100,1,16,81030,1.840000,162104,0.042000,0.006000
020_nagkinahanglan_kami_og_daghang_datos.wav,,44100,1,16,77974,1.770000,155992,0.037200,0.006000
021_ang_transfer_learning_makatabang_sa_low-resource_languages.wav,,44100,1,16,112704,2.560000,225452,0.065400,0.007500
022_unsay_buhaton_sa_model_kung_walay_igo_nga_datos.wav,,44100,1,16,119714,2.710000,239472,0.053200,0.006800
023_usa.wav,,44100,1,16,21239,0.480000,42522,0.042300,0.008500
024_duha.wav,,44100,1,16,18826,0.430000,37696,0.097700,0.017400
025_tulo.wav,,44100,1,16,19792,0.450000,39628,0.029700,0.006100
026_upat.wav,,44100,1,16,13824,0.310000,27692,0.037200,0.006500
027_lima.wav,,44100,1,16,16895,0.380000,33834,0.030500,0.007700
028_pito_ka_kilometro.wav,,44100,1,16,46823,1.060000,93690,0.045100,0.005700
029_napulo_ka_minuto.wav,,44100,1,16,39583,0.900000,79210,0.036600,0.006200
030_akong_pangalan_kay_leandro.wav,,44100,1,16,50686,1.150000,101416,0.023600,0.004000
031_kung_musakay_ko_ug_jeepney_kanunay_ko_mag_andam_ug_saktong_plite.wav,,48000,1,16,161109,3.360000,322262,0.305700,0.051100
032_mag_praktis_ko_sa_akoang_pronounciation_aron_mas_tinaw_akoang_tingog.wav,,48000,1,16,154283,3.210000,308610,0.434000,0.058300
033_sadyang_bata_pako_ganahan_kaayo_ko_magduwa_sa_gawas.wav,,48000,1,16,122880,2.560000,245804,0.409000,0.076500
034_nagkaton_ko_ug_laing_sinultian_aron_makasabot_ko_ug_laing_laing_kultura.wav,,48000,1,16,193195,4.020000,386434,0.308200,0.048300
035_dili_sayon_ang_pagkat-on_ug_skills_apan_kailangan_lang_ug_pasensya.wav,,48000,1,16,192512,4.010000,385068,0.427800,0.064200
036_ang_katong_paboritong_kanta_kai_makaparelaks_ug_makawala_sa_stress.wav,,48000,1,16,180224,3.750000,360492,0.402100,0.065800
037_dako_ug_tabang_ang_teknolohiya_sa_atong_adlaw-adlaw_na_kinabuhi.wav,,48000,1,16,136533,2.840000,273110,0.489000,0.070100
