Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,,44100,1,16,49152,1.110000,98348,0.027100,0.004800
002_kamusta_ka.wav,,44100,1,16,41472,0.940000,82988,0.042900,0.006100
003_salamat_sa_imong_tabang.wav,,44100,1,16,67339,1.530000,134722,0.040500,0.008500
004_maayong_gabie.wav,,44100,1,16,53904,1.220000,107852,0.047500,0.010200
005_palihug_tabangi_ko.wav,,44100,1,16,75706,1.720000,151456,0.046800,0.008300
006_asa_ka_padulong.wav,,44100,1,16,62995,1.430000,126034,0.054300,0.006300
007_kinsa_imong_kuyog.wav,,44100,1,16,62405,1.420000,124854,0.065900,0.009600
008_asa_dapit_ang_jeepney_stop.wav,,44100,1,16,89062,2.020000,178168,0.049900,0.005700
009_pila_an_plete_padulong_sa_cogon_bai.wav,,44100,1,16,97026,2.200000,194096,0.077800,0.007700
010_pag_andam_na_sa_bayad.wav,,44100,1,16,68787,1.560000,137618,0.136600,0.011900
011_toguti_ko_nga_moagi.wav,,44100,1,16,65891,1.490000,131826,0.049400,0.007200
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,,44100,1,16,94854,2.150000,189752,0.028100,0.003700
013_ang_aplikasyon_nagkinahanglan_og_update.wav,,44100,1,16,121243,2.750000,242530,0.071600,0.009700
014_gamiton_nako_ang_mapa_sa_app.wav,,44100,1,16,81499,1.850000,163042,0.076000,0.012200
015_palihug_i-enable_ang_GPS.wav,,44100,1,16,105547,2.390000,211138,0.072800,0.008500
016_naa_kay_internet_connection.wav,,44100,1,16,62741,1.420000,125526,0.082200,0.008200
017_unsa_imong_password_sa_wifi.wav,,44100,1,16,66114,1.500000,132272,0.058300,0.008700
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,,44100,1,16,132262,3.000000,264568,0.037100,0.005700
019_kining_teknolohiya_makatabang_sa_edukasyon.wav,,44100,1,16,121545,2.760000,243134,0.033300,0.005800
020_nagkinahanglan_kami_og_daghang_datos.wav,,44100,1,16,116961,2.650000,233966,0.048600,0.006400
021_ang_transfer_learning_makatabang_sa_low-resource_languages.wav,,44100,1,16,169056,3.830000,338156,0.049500,0.007900
022_unsay_buhaton_sa_model_kung_walay_igo_nga_datos.wav,,44100,1,16,179571,4.070000,359186,0.062400,0.006400
023_usa.wav,,44100,1,16,31859,0.720000,63762,0.051100,0.009500
024_duha.wav,,44100,1,16,28239,0.640000,56522,0.098500,0.016500
025_tulo.wav,,44100,1,16,29688,0.670000,59420,0.034200,0.007000
026_upat.wav,,44100,1,16,20736,0.470000,41516,0.049900,0.006600
027_lima.wav,,44100,1,16,25343,0.570000,50730,0.031600,0.006500
028_pito_ka_kilometro.wav,,44100,1,16,70235,1.590000,140514,0.049300,0.006600
029_napulo_ka_minuto.wav,,44100,1,16,59375,1.350000,118794,0.059100,0.006400
030_akong_pangalan_kay_leandro.wav,,44100,1,16,76029,1.720000,152102,0.027200,0.003900
031_kung_musakay_ko_ug_jeepney_kanunay_ko_mag_andam_ug_saktong_plite.wav,,48000,1,16,241664,5.030000,483372,0.406400,0.050900
032_mag_praktis_ko_sa_akoang_pronounciation_aron_mas_tinaw_akoang_tingog.wav,,48000,1,16,231424,4.820000,462892,0.470600,0.059700
033_sadyang_bata_pako_ganahan_kaayo_ko_magduwa_sa_gawas.wav,,48000,1,16,184320,3.840000,368684,0.470300,0.079000
034_nagkaton_ko_ug_laing_sinultian_aron_makasabot_ko_ug_laing_laing_kultura.wav,,48000,1,16,289792,6.040000,579628,0.360800,0.053600
035_dili_sayon_ang_pagkat-on_ug_skills_apan_kailangan_lang_ug_pasensya.wav,,48000,1,16,288768,6.020000,577580,0.565000,0.067900
036_ang_katong_paboritong_kanta_kai_makaparelaks_ug_makawala_sa_stress.wav,,48000,1,16,270336,5.630000,540716,0.548900,0.070300
037_dako_ug_tabang_ang_teknolohiya_sa_atong_adlaw-adlaw_na_kinabuhi.wav,,48000,1,16,204800,4.270000,409644,0.502000,0.066600
038_Mas_maayo_nga_magpraktis_sa_paglitok_sa_mga_pulong_para_mas_klaro.wav,,48000,1,16,258048,5.380000,516140,0.503800,0.071500
039_Dugay_na_ko_wala_kabisita_sa_akong_mga_higala_sa_pikas_barangay.wav,,48000,1,16,204800,4.270000,409644,0.570200,0.063800
040_Nindot_ang_pagbiyahe_sa_probinsya_kay_presko_ang_hangin_ug_daghan_kahoy.wav,,48000,1,16,250880,5.230000,501804,0.334700,0.049200
041_Sa_dihang_niadtong_gabii_nakadungog_ko_og_kusog_nga_ulan.wav,,48000,1,16,221184,4.610000,442412,0.392500,0.058100
042_Nagtuon_ko_og_programming_kay_gusto_nako_makahimo_og_akong_kaugalingong_app.wav,,48000,1,16,286720,5.970000,573484,0.399200,0.055100
043_Ang_akong_paboritong_prutas_kay_mangga_kay_tam-is_ug_lami_kaayo.wav,,48000,1,16,244736,5.100000,489516,0.419600,0.056000
044_Ang_iring_sa_among_balay_kay_kanunay_magduwa_sa_among_garden.wav,,48000,1,16,211968,4.420000,423980,0.446400,0.057500
045_Kada_buntag_mokaon_ko_og_pan_ug_inom_ko_og_kape.wav,,48000,1,16,211968,4.420000,423980,0.335000,0.046100
046_Ang_among_iro_kay_kasagaran_matulog_sa_ilawom_sa_lamesa.wav,,48000,1,16,228352,4.760000,456748,0.393900,0.051100
047_Unsa_may_imong_paboritong_libro_nga_imong_nabasa.wav,,48000,1,16,189440,3.950000,378924,0.349600,0.054100
048_Ang_akong_lolo_kay_daghan_og_istorya_mahitungod_sa_ilang_panahon_sauna.wav,,48000,1,16,260096,5.420000,520236,0.387000,0.053200
049_Gusto_ko_moadto_sa_dagat_ug_maglangoy_sa_limpyo_nga_tubig.wav,,48000,1,16,204800,4.270000,409644,0.378800,0.050200
050_Nag-ulan_og_kusog_kagabii_mao_nga_bugnaw_ang_panahon_karon.wav,,48000,1,16,225280,4.690000,450604,0.367800,0.056100
051_Ang_kahoy_sa_among_likod_balay_kay_daghan_og_bunga_nga_hinog_na.wav,,48000,1,16,228352,4.760000,456748,0.372800,0.053700
052_Nindot_kaayo_ang_view_sa_bukid_labi_na_kung_mosubang_na_ang_adlaw.wav,,48000,1,16,319488,6.660000,639020,0.414900,0.052700
053_Nag-andam_ko_og_sud-an_para_sa_among_panihapon_karong_gabi.wav,,48000,1,16,169984,3.540000,340012,0.291000,0.046500
054_Kung_magbaha_mas_maayo_nga_magpabilin_lang_sa_balay_para_luwas.wav,,48000,1,16,258048,5.380000,516140,0.403300,0.048600
055_Ang_bisikleta_kay_maayo_nga_pamaagi_sa_pag-ehersisyo.wav,,48000,1,16,212992,4.440000,426028,0.471600,0.067800
056_Kanunay_kong_nagbasa_og_libro_matag_gabii_aron_masayod_ko_og_bag-ong_mga_butang..wav,,48000,1,16,285696,5.950000,571436,0.584400,0.075800
057_Kung_gusto_ka_mahimong_maayong_magtatambag_kinahanglan_nga_maminaw_ka_sa_uban..wav,,48000,1,16,264192,5.500000,528428,0.617300,0.086400
058_Ang kahoy nagapadaku sa ilang sanga ug nagahatag og landong sa init nga adlaw.wav,,48000,1,16,293888,6.120000,587820,0.530400,0.074400
059_Gusto_ko_moadto_sa_taas_nga_bungtod_aron_makita_ang_nindot_nga_tan-awon.wav,,48000,1,16,228352,4.760000,456748,0.427400,0.056800
060_Dili_kinahanglan_nga_magdali-dali_sa_pagbuhat_sa_usa_ka_desisyon.wav,,48000,1,16,203776,4.250000,407596,0.444400,0.061700
061_Kung_maglakaw_ta_sa_dalan_kinahanglan_nga_magmatngon_sa_mga_sakyanan.wav,,48000,1,16,247808,5.160000,495660,0.483400,0.078100
062_Ang dagat kay malinawon ug ang mga balud nagahumok sa baybayon.wav,,48000,1,16,256000,5.330000,512044,0.541100,0.073600
063_Ang_usa_ka_maayong_kinaiya_mao_ang_pagpakita_og_respeto_sa_uban.wav,,48000,1,16,228352,4.760000,456748,0.440400,0.059100
064_Ang teknolohiya nagapauswag sa atong pamaagi sa pagtrabaho ug komunikasyon..wav,,48000,1,16,294912,6.140000,589868,0.521900,0.067800
065_Ang_akong_damgo_mao_ang_makabiyahe_sa_lain-laing_mga_nasod..wav,,48000,1,16,228352,4.760000,456748,0.539000,0.063200
066_Ang_atong_kalibotan_puno_og_katahom_nga_dapat_natong_ampingan.wav,,48000,1,16,212992,4.440000,426028,0.638500,0.057100
067_Sa_pagkat-on_sa_bag-ong_sinultian_importante_ang_pagpraktis_matag-adlaw.wav,,48000,1,16,220160,4.590000,440364,0.473400,0.058100
068_Nagtuon_ko_og_matematika_kay_gusto_nako_masabtan_ang_mga_numero_og_ekwasyon..wav,,48000,1,16,233472,4.860000,466988,0.367600,0.050100
069_Sa_buntag_makadungog_ko_sa_mga_langgam_nga_nagkanta_sa_gawas..wav,,48000,1,16,194560,4.050000,389164,0.487300,0.058900
070_Kung_maghimo_ka_og_desisyon_siguroha_nga_imo_kining_hunahunaon_pag-ayo..wav,,48000,1,16,290816,6.060000,581676,0.578600,0.055900
071_Ang_pagsabot_sa_laing_kultura_makatabang_sa_atong_pagsinabtanay..wav,,48000,1,16,203776,4.250000,407596,0.425200,0.055200
072_Ang_tubig_sa_suba_kay_klaro_kaayo_ug_makita_nimo_ang_mga_isda_nga_naglangoy.wav,,48000,1,16,279552,5.820000,559148,0.615500,0.059400
073_Gusto_ko_mokaon_og_lechon_kung_aduna’y_fiesta_sa_among_lugar.wav,,48000,1,16,168960,3.520000,337964,0.375400,0.059800
074_Ang_among_pamilya_kanunay_magtapok_matag_Domingo_para_magkaon_og_panihapon.wav,,48000,1,16,251904,5.250000,503852,0.549100,0.057300
075_Ang_pagsulat_og_istorya_makatabang_sa_pagpaambit_sa_imong_mga_hunahuna.wav,,48000,1,16,256000,5.330000,512044,0.592200,0.060000
076_Ang_akong_paboritong_bulan_sa_tuig_kay_Disyembre_kay_bugnaw_ang_panahon.wav,,48000,1,16,219136,4.570000,438316,0.391600,0.053600
077_Ang_akong_damgo_mao_ang_mahimong_usa_ka_maayong_inhenyero_sa_umaabot.wav,,48000,1,16,414720,8.640000,829484,0.439500,0.058300
078_kadtong_tawo_nga_nagbarog_sa_kilid_sa_dalan_gahapon_kay_akong_igsuon_nga_gikan_sa_Manila.wav,,46050,1,16,192000,8.320000,384044,0.062700,0.006300
079_kung_moabot_ka_sa_among_balay_karong_gabii_pangandam_ko_og_espesyal_nga_panihapon_para_nimo.wav,,46050,1,16,192000,8.040000,384044,0.062500,0.007200
080_ang_among_silingan_kanunay_maghimo_og_saba_kada_gabii_mao_nga_dili_ko_katulog_og_tarong.wav,,46050,1,16,192000,11.010000,384044,0.062300,0.005900
081_dili_ko_kasabot_nganon_wala_ka_motunga_sa_among_kasal_bisan_pa_man_og_gidapit_tika.wav,,46050,1,16,192000,8.940000,384044,0.078400,0.006400
082_ang_among_anak_nakadaog_sa_contest_sa_eskwelahan_tungod_sa_iyang_maanindot_nga_tingog.wav,,46050,1,16,192000,9.390000,384044,0.079500,0.007100
083_ang_among_supervisor_dili_mouyon_sa_akong_sugyot_bisan_pa_og_kini_makahatag_og_dakong_benepisyo_sa_kompanya.wav,,46050,1,16,192000,10.600000,384044,0.098000,0.008200
