Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,,44100,1,16,49152,1.110000,98348,0.019700,0.005000
002_kamusta_ka.wav,,44100,1,16,41472,0.940000,82988,0.041000,0.006500
003_salamat_sa_imong_tabang.wav,,44100,1,16,67339,1.530000,134722,0.051200,0.008000
004_maayong_gabie.wav,,44100,1,16,53904,1.220000,107852,0.047400,0.010600
005_palihug_tabangi_ko.wav,,44100,1,16,75706,1.720000,151456,0.043800,0.008300
006_asa_ka_padulong.wav,,44100,1,16,62995,1.430000,126034,0.043300,0.006900
007_kinsa_imong_kuyog.wav,,44100,1,16,62405,1.420000,124854,0.073600,0.010900
008_asa_dapit_ang_jeepney_stop.wav,,44100,1,16,89062,2.020000,178168,0.061800,0.005900
009_pila_an_plete_padulong_sa_cogon_bai.wav,,44100,1,16,97026,2.200000,194096,0.068300,0.006900
010_pag_andam_na_sa_bayad.wav,,44100,1,16,68787,1.560000,137618,0.156200,0.012500
011_toguti_ko_nga_moagi.wav,,44100,1,16,65891,1.490000,131826,0.050800,0.007300
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,,44100,1,16,94854,2.150000,189752,0.026100,0.003800
013_ang_aplikasyon_nagkinahanglan_og_update.wav,,44100,1,16,121243,2.750000,242530,0.065600,0.009200
014_gamiton_nako_ang_mapa_sa_app.wav,,44100,1,16,81499,1.850000,163042,0.072200,0.012600
015_palihug_i-enable_ang_GPS.wav,,44100,1,16,105547,2.390000,211138,0.083400,0.008600
016_naa_kay_internet_connection.wav,,44100,1,16,62741,1.420000,125526,0.055500,0.008200
017_unsa_imong_password_sa_wifi.wav,,44100,1,16,66114,1.500000,132272,0.057200,0.009500
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,,44100,1,16,132262,3.000000,264568,0.040600,0.005200
019_kining_teknolohiya_makatabang_sa_edukasyon.wav,,44100,1,16,121545,2.760000,243134,0.027200,0.005400
020_nagkinahanglan_kami_og_daghang_datos.wav,,44100,1,16,116961,2.650000,233966,0.041900,0.006400
021_ang_transfer_learning_makatabang_sa_low-resource_languages.wav,,44100,1,16,169056,3.830000,338156,0.068500,0.007900
022_unsay_buhaton_sa_model_kung_walay_igo_nga_datos.wav,,44100,1,16,179571,4.070000,359186,0.059500,0.007400
023_usa.wav,,44100,1,16,31859,0.720000,63762,0.051100,0.009600
024_duha.wav,,44100,1,16,28239,0.640000,56522,0.094400,0.017500
025_tulo.wav,,44100,1,16,29688,0.670000,59420,0.026900,0.006300
