Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,,44100,1,16,43691,0.990000,87426,0.014200,0.003000
002_kamusta_ka.wav,,44100,1,16,36864,0.840000,73772,0.028600,0.004700
003_salamat_sa_imong_tabang.wav,,44100,1,16,59857,1.360000,119758,0.030200,0.005700
004_maayong_gabie.wav,,44100,1,16,47915,1.090000,95874,0.035400,0.008100
005_palihug_tabangi_ko.wav,,44100,1,16,67294,1.530000,134632,0.037900,0.005600
006_asa_ka_padulong.wav,,44100,1,16,55995,1.270000,112034,0.033400,0.004700
007_kinsa_imong_kuyog.wav,,44100,1,16,55471,1.260000,110986,0.036100,0.006200
008_asa_dapit_ang_jeepney_stop.wav,,44100,1,16,79166,1.800000,158376,0.034000,0.004200
009_pila_an_plete_padulong_sa_cogon_bai.wav,,44100,1,16,86245,1.960000,172534,0.043700,0.005500
010_pag_andam_na_sa_bayad.wav,,44100,1,16,61144,1.390000,122332,0.125800,0.009000
011_toguti_ko_nga_moagi.wav,,44100,1,16,58570,1.330000,117184,0.030200,0.004400
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,,44100,1,16,84315,1.910000,168674,0.018200,0.002600
013_ang_aplikasyon_nagkinahanglan_og_update.wav,,44100,1,16,107771,2.440000,215586,0.061300,0.008000
014_gamiton_nako_ang_mapa_sa_app.wav,,44100,1,16,72443,1.640000,144930,0.052400,0.007500
015_palihug_i-enable_ang_GPS.wav,,44100,1,16,93819,2.130000,187682,0.036900,0.005400
016_naa_kay_internet_connection.wav,,44100,1,16,55770,1.260000,111584,0.036700,0.005700
017_unsa_imong_password_sa_wifi.wav,,44100,1,16,58768,1.330000,117580,0.048400,0.006000
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,,44100,1,16,117566,2.670000,235176,0.024100,0.003500
019_kining_teknolohiya_makatabang_sa_edukasyon.wav,,44100,1,16,108040,2.450000,216124,0.026200,0.004300
020_nagkinahanglan_kami_og_daghang_datos.wav,,44100,1,16,103965,2.360000,207974,0.029600,0.004300
021_ang_transfer_learning_makatabang_sa_low-resource_languages.wav,,44100,1,16,150272,3.410000,300588,0.038600,0.005500
022_unsay_buhaton_sa_model_kung_walay_igo_nga_datos.wav,,44100,1,16,159619,3.620000,319282,0.035900,0.004900
023_usa.wav,,44100,1,16,28319,0.640000,56682,0.037700,0.006300
024_duha.wav,,44100,1,16,25101,0.570000,50246,0.052100,0.010900
