Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,,44100,2,16,49152,1.110000,196652,0.032700,0.006900
002_kamusta_ka.wav,,44100,2,16,41472,0.940000,165932,0.067100,0.010100
003_salamat_sa_imong_tabang.wav,,44100,2,16,67339,1.530000,269400,0.057400,0.010600
004_maayong_gabie.wav,,44100,2,16,53904,1.220000,215660,0.065000,0.014700
005_palihug_tabangi_ko.wav,,44100,2,16,75706,1.720000,302868,0.059300,0.011300
006_asa_ka_padulong.wav,,44100,2,16,62995,1.430000,252024,0.093400,0.008700
007_kinsa_imong_kuyog.wav,,44100,2,16,62405,1.420000,249664,0.076200,0.014300
008_asa_dapit_ang_jeepney_stop.wav,,44100,2,16,89062,2.020000,356292,0.076100,0.008700
009_pila_an_plete_padulong_sa_cogon_bai.wav,,44100,2,16,97026,2.200000,388148,0.084300,0.010400
010_pag_andam_na_sa_bayad.wav,,44100,2,16,68787,1.560000,275192,0.279200,0.018000
011_toguti_ko_nga_moagi.wav,,44100,2,16,65891,1.490000,263608,0.083500,0.009800
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,,44100,2,16,94854,2.150000,379460,0.039000,0.005300
013_ang_aplikasyon_nagkinahanglan_og_update.wav,,44100,2,16,121243,2.750000,485016,0.144100,0.013700
014_gamiton_nako_ang_mapa_sa_app.wav,,44100,2,16,81499,1.850000,326040,0.178500,0.017700
015_palihug_i-enable_ang_GPS.wav,,44100,2,16,105547,2.390000,422232,0.108100,0.012200
016_naa_kay_internet_connection.wav,,44100,2,16,62741,1.420000,251008,0.105000,0.011800
017_unsa_imong_password_sa_wifi.wav,,44100,2,16,66114,1.500000,264500,0.143200,0.013100
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,,44100,2,16,132262,3.000000,529092,0.055300,0.007900
019_kining_teknolohiya_makatabang_sa_edukasyon.wav,,44100,2,16,121545,2.760000,486224,0.057700,0.007900
020_nagkinahanglan_kami_og_daghang_datos.wav,,44100,2,16,116961,2.650000,467888,0.066200,0.009400
021_ang_transfer_learning_makatabang_sa_low-resource_languages.wav,,44100,2,16,169056,3.830000,676268,0.078100,0.011400
022_unsay_buhaton_sa_model_kung_walay_igo_nga_datos.wav,,44100,2,16,179571,4.070000,718328,0.104300,0.010200
023_usa.wav,,44100,2,16,31859,0.720000,127480,0.079900,0.012800
024_duha.wav,,44100,2,16,28239,0.640000,113000,0.173700,0.025500
025_tulo.wav,,44100,2,16,29688,0.670000,118796,0.038100,0.008100
026_upat.wav,,44100,2,16,20736,0.470000,82988,0.075300,0.009000
027_lima.wav,,44100,2,16,25343,0.570000,101416,0.043900,0.009900
028_pito_ka_kilometro.wav,,44100,2,16,70235,1.590000,280984,0.104100,0.008500
029_napulo_ka_minuto.wav,,44100,2,16,59375,1.350000,237544,0.064200,0.009300
030_akong_pangalan_kay_leandro.wav,,44100,2,16,76029,1.720000,304160,0.055300,0.005600
031_kung_musakay_ko_ug_jeepney_kanunay_ko_mag_andam_ug_saktong_plite.wav,,48000,2,16,241664,5.030000,966734,0.538900,0.076500
032_mag_praktis_ko_sa_akoang_pronounciation_aron_mas_tinaw_akoang_tingog.wav,,48000,2,16,231424,4.820000,925774,0.637900,0.086200
033_sadyang_bata_pako_ganahan_kaayo_ko_magduwa_sa_gawas.wav,,48000,2,16,184320,3.840000,737358,0.755300,0.109700
034_nagkaton_ko_ug_laing_sinultian_aron_makasabot_ko_ug_laing_laing_kultura.wav,,48000,2,16,289792,6.040000,1159246,0.512700,0.073400
035_dili_sayon_ang_pagkat-on_ug_skills_apan_kailangan_lang_ug_pasensya.wav,,48000,2,16,288768,6.020000,1155150,0.984600,0.099400
036_ang_katong_paboritong_kanta_kai_makaparelaks_ug_makawala_sa_stress.wav,,48000,2,16,270336,5.630000,1081422,0.805900,0.100800
037_dako_ug_tabang_ang_teknolohiya_sa_atong_adlaw-adlaw_na_kinabuhi.wav,,48000,2,16,204800,4.270000,819278,0.733300,0.106200
038_Mas_maayo_nga_magpraktis_sa_paglitok_sa_mga_pulong_para_mas_klaro.wav,,48000,2,16,258048,5.380000,1032270,0.763700,0.100800
039_Dugay_na_ko_wala_kabisita_sa_akong_mga_higala_sa_pikas_barangay.wav,,48000,2,16,204800,4.270000,819278,0.690300,0.093500
040_Nindot_ang_pagbiyahe_sa_probinsya_kay_presko_ang_hangin_ug_daghan_kahoy.wav,,48000,2,16,250880,5.230000,1003598,0.452400,0.069800
041_Sa_dihang_niadtong_gabii_nakadungog_ko_og_kusog_nga_ulan.wav,,48000,2,16,221184,4.610000,884814,0.537600,0.085800
042_Nagtuon_ko_og_programming_kay_gusto_nako_makahimo_og_akong_kaugalingong_app.wav,,48000,2,16,286720,5.970000,1146958,0.536300,0.078500
043_Ang_akong_paboritong_prutas_kay_mangga_kay_tam-is_ug_lami_kaayo.wav,,48000,2,16,244736,5.100000,979022,0.629200,0.079800
044_Ang_iring_sa_among_balay_kay_kanunay_magduwa_sa_among_garden.wav,,48000,2,16,211968,4.420000,847950,0.494600,0.078800
045_Kada_buntag_mokaon_ko_og_pan_ug_inom_ko_og_kape.wav,,48000,2,16,211968,4.420000,847950,0.435400,0.069700
046_Ang_among_iro_kay_kasagaran_matulog_sa_ilawom_sa_lamesa.wav,,48000,2,16,228352,4.760000,913486,0.675900,0.070400
047_Unsa_may_imong_paboritong_libro_nga_imong_nabasa.wav,,48000,2,16,189440,3.950000,757838,0.454600,0.080000
048_Ang_akong_lolo_kay_daghan_og_istorya_mahitungod_sa_ilang_panahon_sauna.wav,,48000,2,16,260096,5.420000,1040462,0.415200,0.075400
049_Gusto_ko_moadto_sa_dagat_ug_maglangoy_sa_limpyo_nga_tubig.wav,,48000,2,16,204800,4.270000,819278,0.556900,0.071100
050_Nag-ulan_og_kusog_kagabii_mao_nga_bugnaw_ang_panahon_karon.wav,,48000,2,16,225280,4.690000,901198,0.464100,0.078100
051_Ang_kahoy_sa_among_likod_balay_kay_daghan_og_bunga_nga_hinog_na.wav,,48000,2,16,228352,4.760000,913486,0.560600,0.082600
052_Nindot_kaayo_ang_view_sa_bukid_labi_na_kung_mosubang_na_ang_adlaw.wav,,48000,2,16,319488,6.660000,1278030,0.650000,0.076300
053_Nag-andam_ko_og_sud-an_para_sa_among_panihapon_karong_gabi.wav,,48000,2,16,169984,3.540000,680014,0.489300,0.071400
054_Kung_magbaha_mas_maayo_nga_magpabilin_lang_sa_balay_para_luwas.wav,,48000,2,16,258048,5.380000,1032270,0.441700,0.070600
055_Ang_bisikleta_kay_maayo_nga_pamaagi_sa_pag-ehersisyo.wav,,48000,2,16,212992,4.440000,852046,0.779000,0.097600
056_Kanunay_kong_nagbasa_og_libro_matag_gabii_aron_masayod_ko_og_bag-ong_mga_butang..wav,,48000,2,16,285696,5.950000,1142862,0.789300,0.111700
057_Kung_gusto_ka_mahimong_maayong_magtatambag_kinahanglan_nga_maminaw_ka_sa_uban..wav,,48000,2,16,264192,5.500000,1056846,0.829700,0.114600
058_Ang kahoy nagapadaku sa ilang sanga ug nagahatag og landong sa init nga adlaw.wav,,48000,2,16,293888,6.120000,1175630,0.852700,0.106200
059_Gusto_ko_moadto_sa_taas_nga_bungtod_aron_makita_ang_nindot_nga_tan-awon.wav,,48000,2,16,228352,4.760000,913486,0.659000,0.088600
060_Dili_kinahanglan_nga_magdali-dali_sa_pagbuhat_sa_usa_ka_desisyon.wav,,48000,2,16,203776,4.250000,815182,0.699600,0.095900
061_Kung_maglakaw_ta_sa_dalan_kinahanglan_nga_magmatngon_sa_mga_sakyanan.wav,,48000,2,16,247808,5.160000,991310,0.704900,0.109400
062_Ang dagat kay malinawon ug ang mga balud nagahumok sa baybayon.wav,,48000,2,16,256000,5.330000,1024078,0.911900,0.105300
063_Ang_usa_ka_maayong_kinaiya_mao_ang_pagpakita_og_respeto_sa_uban.wav,,48000,2,16,228352,4.760000,913486,0.743800,0.084100
064_Ang teknolohiya nagapauswag sa atong pamaagi sa pagtrabaho ug komunikasyon..wav,,48000,2,16,294912,6.140000,1179726,0.909100,0.103900
065_Ang_akong_damgo_mao_ang_makabiyahe_sa_lain-laing_mga_nasod..wav,,48000,2,16,228352,4.760000,913486,0.781800,0.092800
066_Ang_atong_kalibotan_puno_og_katahom_nga_dapat_natong_ampingan.wav,,48000,2,16,212992,4.440000,852046,0.735400,0.087100
067_Sa_pagkat-on_sa_bag-ong_sinultian_importante_ang_pagpraktis_matag-adlaw.wav,,48000,2,16,220160,4.590000,880718,0.747200,0.080300
068_Nagtuon_ko_og_matematika_kay_gusto_nako_masabtan_ang_mga_numero_og_ekwasyon..wav,,48000,2,16,233472,4.860000,933966,0.547500,0.074600
069_Sa_buntag_makadungog_ko_sa_mga_langgam_nga_nagkanta_sa_gawas..wav,,48000,2,16,194560,4.050000,778318,0.741400,0.089600
