Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,,44100,1,16,65536,1.490000,131116,0.020300,0.005000
002_kamusta_ka.wav,,44100,1,16,55296,1.250000,110636,0.048100,0.007200
003_salamat_sa_imong_tabang.wav,,44100,1,16,89785,2.040000,179614,0.045800,0.007600
004_maayong_gabie.wav,,44100,1,16,71872,1.630000,143788,0.069400,0.011200
005_palihug_tabangi_ko.wav,,44100,1,16,100941,2.290000,201926,0.049400,0.007700
006_asa_ka_padulong.wav,,44100,1,16,83993,1.900000,168030,0.045300,0.006400
007_kinsa_imong_kuyog.wav,,44100,1,16,83207,1.890000,166458,0.054100,0.008900
008_asa_dapit_ang_jeepney_stop.wav,,44100,1,16,118749,2.690000,237542,0.054100,0.006000
009_pila_an_plete_padulong_sa_cogon_bai.wav,,44100,1,16,129368,2.930000,258780,0.061500,0.007500
010_pag_andam_na_sa_bayad.wav,,44100,1,16,91716,2.080000,183476,0.148400,0.012800
011_toguti_ko_nga_moagi.wav,,44100,1,16,87855,1.990000,175754,0.056600,0.007000
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,,44100,1,16,126472,2.870000,252988,0.028200,0.003800
013_ang_aplikasyon_nagkinahanglan_og_update.wav,,44100,1,16,161657,3.670000,323358,0.078400,0.010800
014_gamiton_nako_ang_mapa_sa_app.wav,,44100,1,16,108665,2.460000,217374,0.076300,0.012000
015_palihug_i-enable_ang_GPS.wav,,44100,1,16,140729,3.190000,281502,0.066400,0.008800
016_naa_kay_internet_connection.wav,,44100,1,16,83655,1.900000,167354,0.055300,0.007900
017_unsa_imong_password_sa_wifi.wav,,44100,1,16,88152,2.000000,176348,0.054000,0.008800
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,,44100,1,16,176349,4.000000,352742,0.036000,0.005700
019_kining_teknolohiya_makatabang_sa_edukasyon.wav,,44100,1,16,162060,3.670000,324164,0.040400,0.005900
020_nagkinahanglan_kami_og_daghang_datos.wav,,44100,1,16,155948,3.540000,311940,0.048800,0.006100
021_ang_transfer_learning_makatabang_sa_low-resource_languages.wav,,44100,1,16,225408,5.110000,450860,0.059900,0.007900
022_unsay_buhaton_sa_model_kung_walay_igo_nga_datos.wav,,44100,1,16,239428,5.430000,478900,0.054500,0.006800
023_usa.wav,,44100,1,16,42479,0.960000,85002,0.057100,0.009600
024_duha.wav,,44100,1,16,37652,0.850000,75348,0.086300,0.016600
