Filename,Transcription,Sample Rate (Hz),Channels,Bit Depth,Number of Samples,Duration (s),File Size (bytes),Peak Amplitude,RMS Amplitude
001_maayong_buntag.wav,,44100,2,16,49152,1.11,196652,1073,57.14
002_kamusta_ka.wav,,44100,2,16,41472,0.94,165932,2200,51.99
003_salamat_sa_imong_tabang.wav,,44100,2,16,67339,1.53,269400,1883,49.28
004_maayong_gabie.wav,,44100,2,16,53904,1.22,215660,2131,42.27
005_palihug_tabangi_ko.wav,,44100,2,16,75706,1.72,302868,1942,39.54
006_asa_ka_padulong.wav,,44100,2,16,62995,1.43,252024,3060,45.01
007_kinsa_imong_kuyog.wav,,44100,2,16,62405,1.42,249664,2499,43.55
008_asa_dapit_ang_jeepney_stop.wav,,44100,2,16,89062,2.02,356292,2494,44.22
009_pila_an_plete_padulong_sa_cogon_bai.wav,,44100,2,16,97026,2.2,388148,2762,47.13
010_pag_andam_na_sa_bayad.wav,,44100,2,16,68787,1.56,275192,9148,44.37
011_toguti_ko_nga_moagi.wav,,44100,2,16,65891,1.49,263608,2736,51.21
012_naa_ba_y_shortcut_padulong_sa_skwelahan.wav,,44100,2,16,94854,2.15,379460,1278,54.63
013_ang_aplikasyon_nagkinahanglan_og_update.wav,,44100,2,16,121243,2.75,485016,4724,43.58
014_gamiton_nako_ang_mapa_sa_app.wav,,44100,2,16,81499,1.85,326040,5849,45.76
"015_palihug,_i-enable_ang_GPS.wav",,44100,2,16,105547,2.39,422232,3542,48.74
016_naa_kay_internet_connection.wav,,44100,2,16,62741,1.42,251008,3442,50.55
017_unsa_imong_password_sa_wifi.wav,,44100,2,16,66114,1.5,264500,4691,48.88
018_ang_akong_research_naghisgot_mahitungod_sa_AI.wav,,44100,2,16,132262,3.0,529092,1813,53.87
019_kining_teknolohiya_makatabang_sa_edukasyon.wav,,44100,2,16,121545,2.76,486224,1892,55.49
020_nagkinahanglan_kami_og_daghang_datos.wav,,44100,2,16,116961,2.65,467888,2170,50.82
021_ang_transfer_learning_makatabang_sa_low-resource_languages.wav,,44100,2,16,169056,3.83,676268,2559,52.32
022_unsay_buhaton_sa_model_kung_walay_igo_nga_datos.wav,,44100,2,16,179571,4.07,718328,3418,49.91
023_usa.wav,,44100,2,16,31859,0.72,127480,2618,37.82
024_duha.wav,,44100,2,16,28239,0.64,113000,5691,39.11
025_tulo.wav,,44100,2,16,29688,0.67,118796,1247,42.73
026_upat.wav,,44100,2,16,20736,0.47,82988,2469,41.94
027_lima.wav,,44100,2,16,25343,0.57,101416,1440,48.84
028_pito_ka_kilometro.wav,,44100,2,16,70235,1.59,280984,3413,51.36
029_napulo_ka_minuto.wav,,44100,2,16,59375,1.35,237544,2103,48.74
030_akong_pangalan_kay_leandro.wav,,44100,2,16,76029,1.72,304160,1814,55.36
031_kung_musakay_ko_ug_jeepney_kanunay_ko_mag_andam_ug_saktong_plite.wav,,48000,2,16,241664,5.03,966734,21384,20.35
032_mag_praktis_ko_sa_akoang_pronounciation_aron_mas_tinaw_akoang_tingog.wav,,48000,2,16,231424,4.82,925774,24584,18.34
033_sadyang_bata_pako_ganahan_kaayo_ko_magduwa_sa_gawas.wav,,48000,2,16,184320,3.84,737358,27895,20.02
034_nagkaton_ko_ug_laing_sinultian_aron_makasabot_ko_ug_laing_laing_kultura.wav,,48000,2,16,289792,6.04,1159246,23791,19.08
035_dili_sayon_ang_pagkat-on_ug_skills_apan_kailangan_lang_ug_pasensya.wav,,48000,2,16,288768,6.02,1155150,32318,19.08
036_ang_katong_paboritong_kanta_kai_makaparelaks_ug_makawala_sa_stress.wav,,48000,2,16,270336,5.63,1081422,32241,19.07
037_dako_ug_tabang_ang_teknolohiya_sa_atong_adlaw-adlaw_na_kinabuhi.wav,,48000,2,16,204800,4.27,819278,31617,17.82
038_Mas_maayo_nga_magpraktis_sa_paglitok_sa_mga_pulong_para_mas_klaro.wav,,48000,2,16,258048,5.38,1032270,29708,18.59
039_Dugay_na_ko_wala_kabisita_sa_akong_mga_higala_sa_pikas_barangay.wav,,48000,2,16,204800,4.27,819278,32767,20.12
040_Nindot_ang_pagbiyahe_sa_probinsya_kay_presko_ang_hangin_ug_daghan_kahoy.wav,,48000,2,16,250880,5.23,1003598,19477,20.83
041_Sa_dihang_niadtong_gabii_nakadungog_ko_og_kusog_nga_ulan.wav,,48000,2,16,221184,4.61,884814,21370,17.91
042_Nagtuon_ko_og_programming_kay_gusto_nako_makahimo_og_akong_kaugalingong_app.wav,,48000,2,16,286720,5.97,1146958,22137,19.64
